chr1	6521094	6521153	novel:chr1_24	130.9	+	6521094	6521153	0,0,0	1	59,	0,
chr1	10140464	10140519	novel:chr1_1589	63.8	-	10140464	10140519	0,0,0	1	55,	0,
chr1	24663933	24663991	novel:chr1_1702	47.7	-	24663933	24663991	0,0,0	1	58,	0,
chr1	36531820	36531882	novel:chr1_1774	35.1	-	36531820	36531882	0,0,0	1	62,	0,
chr1	39404085	39404140	novel:chr1_1827	186.1	-	39404085	39404140	0,0,0	1	55,	0,
chr1	60012536	60012623	novel:chr1_1975	69.0	-	60012536	60012623	0,0,0	1	87,	0,
chr1	60502351	60502412	novel:chr1_1981	97.3	-	60502351	60502412	0,0,0	1	61,	0,
chr1	63143984	63144046	novel:chr1_1997	36.9	-	63143984	63144046	0,0,0	1	62,	0,
chr1	73750097	73750153	novel:chr1_2057	61.8	-	73750097	73750153	0,0,0	1	56,	0,
chr1	94025014	94025074	novel:chr1_745	143.4	+	94025014	94025074	0,0,0	1	60,	0,
chr1	118525060	118525119	novel:chr1_821	178.6	+	118525060	118525119	0,0,0	1	59,	0,
chr1	132025687	132025754	novel:chr1_908	416.5	+	132025687	132025754	0,0,0	1	67,	0,
chr1	135734059	135734115	novel:chr1_978	41.8	+	135734059	135734115	0,0,0	1	56,	0,
chr1	162223396	162223455	novel:chr1_2684	286.4	-	162223396	162223455	0,0,0	1	59,	0,
chr1	168405554	168405616	novel:chr1_2769	43.5	-	168405554	168405616	0,0,0	1	62,	0,
chr1	170255473	170255532	novel:chr1_2786	63.3	-	170255473	170255532	0,0,0	1	59,	0,
chr1	172025725	172025784	novel:chr1_2843	15.6	-	172025725	172025784	0,0,0	1	59,	0,
chr1	180447754	180447817	novel:chr1_1394	69.1	+	180447754	180447817	0,0,0	1	63,	0,
chr1	182302963	182303026	novel:chr1_1427	14.9	+	182302963	182303026	0,0,0	1	63,	0,
chr1	187726419	187726481	novel:chr1_1460	45.2	+	187726419	187726481	0,0,0	1	62,	0,
chr10	4092814	4092873	novel:chr10_26214	2042.3	+	4092814	4092873	0,0,0	1	59,	0,
